Index,PedSpeed,EgoSpeed,PedDist,Fitness_Min distance_LoFi,Fitness_Velocity at min distance_LoFi,Fitness_Min distance_HiFi,Fitness_Velocity at min distance_HiFi,Critical_LoFi,Critical_HiFi
182,2.60172306,5.05164628,18.13209068,12.44905055,-5.09997855,0.77216613,-5.43488214,0,1
185,2.62443731,8.04034172,16.03358598,1.32415760,-2.75003698,0.59764047,-1.11398539,0,1
192,2.72162233,7.48039780,5.09821187,3.46488883,-6.83478273,0.02578317,-3.92811809,0,1
202,2.81805499,4.22826468,12.45072957,2.64570070,-1.25979307,0.80727212,-1.45159914,0,1
204,2.82092334,5.69868147,18.38188828,12.27395006,-5.71945718,0.14716939,-5.75764098,0,1
206,2.83485681,5.11759016,17.55121937,11.68923118,-5.13493123,0.50766160,-5.29879993,0,1
209,2.90841187,4.59358059,13.22006490,4.24082335,-0.48998689,0.78933501,-3.21104141,0,1
210,2.94152516,3.99593049,13.12399403,4.63992072,-0.34380165,0.43088307,-2.97653711,0,1
211,2.95002976,5.36112922,15.92520712,4.99315832,-0.98399979,0.17193114,-7.97968107,0,1
212,2.95508811,7.32965066,8.43195826,1.91946204,-7.04368459,0.61279024,-3.86548641,0,1
214,2.97699304,4.50151957,6.55522093,2.04851777,-4.47000048,0.33938373,-2.33052129,0,1
218,3.00593120,3.45446870,18.93291514,13.76761111,-3.45996043,0.59415287,-4.10877859,0,1
221,3.06062447,4.35115692,15.37500903,5.29738276,-2.68927569,0.69212228,-3.87494927,0,1
223,3.07933197,3.58704669,12.32028619,4.45841909,-0.29001073,0.90176382,-7.50417878,0,1
228,3.13057057,4.14018538,17.81637665,12.60709349,-4.15014088,0.37318307,-6.51211144,0,1
232,3.14535361,3.00898476,17.86426125,12.86772391,-3.01002003,0.17667740,-7.58345849,0,1
235,3.20483587,7.34322191,8.29916685,1.83625504,-7.04450335,0.00509434,-3.21409335,0,1
238,3.22653145,4.45685276,14.57867247,5.13322659,-1.18589834,0.57264107,-3.47786621,0,1
249,3.30437486,8.13960724,14.98139477,1.57429886,-3.75223194,0.83416924,-4.59494701,0,1
250,3.30571500,4.59597542,17.69663975,12.26211887,-4.63499753,0.46767397,-7.97232699,0,1
251,3.31299688,8.08227784,17.35197080,11.33990867,-7.05006768,0.64470705,-5.62609186,0,1
252,3.31591347,4.56264952,14.74484435,5.15736386,-1.23887014,0.71475120,-3.54097222,0,1
256,3.34220251,3.01007734,12.44174507,4.83622026,-0.78499131,0.38317710,-5.19291158,0,1
