Index,PedSpeed,EgoSpeed,PedDist,Fitness_Min distance_LoFi,Fitness_Velocity at min distance_LoFi,Fitness_Min distance_HiFi,Fitness_Velocity at min distance_HiFi,Critical_LoFi,Critical_HiFi
241,3.25878450,7.73642997,18.55978959,12.67939626,-6.54996751,2.87510129,-8.17721647,0,0
243,3.27276428,3.61808056,12.98455788,4.84436428,-0.87805083,2.92628846,-4.86810245,0,0
244,3.28029083,5.99153616,13.96198420,3.20362308,-1.39998481,5.49580497,-4.05794085,0,0
245,3.28869338,3.52546594,8.46911431,0.70931281,-0.76007391,1.67134381,-0.90249740,0,0
246,3.28946547,6.78154917,13.28211269,1.59040047,-2.72016665,2.74503218,-8.29715277,0,0
247,3.29987424,5.61184113,8.00938350,1.43288041,-5.29462196,2.59071526,-3.98644154,0,0
253,3.31759050,5.28921385,16.72347905,11.14466868,-5.29211264,0.36436182,-0.00080219,0,0
254,3.32635901,6.81698923,7.71851312,1.86552341,-6.80723853,2.04876438,-8.21662150,0,0
257,3.38104317,3.74071071,7.12498811,1.02267803,-3.21992304,1.68717800,-3.59505864,0,0
259,3.39759343,5.96592644,18.94611298,13.58423709,-5.97498941,5.77412773,-6.76449973,0,0
260,3.40621758,7.76671878,6.76646246,2.52247537,-6.86441981,3.63286481,-4.70843900,0,0
261,3.42837785,3.30157368,19.76101905,14.96347269,-3.29499317,3.40401799,-7.97523107,0,0
262,3.43612256,4.96118223,10.60492664,1.53796766,-1.45007157,2.98961343,-6.92511662,0,0
264,3.46229216,7.30409921,17.55182110,11.32667298,-7.04999732,3.02156936,-5.37853285,0,0
265,3.46480224,7.79659917,18.44481030,13.07887874,-6.40003684,3.41758914,-5.31379065,0,0
267,3.52441291,6.69771606,12.52989521,1.50968097,-2.80002742,2.51634865,-4.14652196,0,0
268,3.53187416,7.92441853,17.31445936,11.64421948,-6.94865359,1.28375934,-7.35982735,0,0
269,3.53850504,4.07928571,15.91465052,10.61527289,-4.05499770,7.09864633,-7.18771956,0,0
274,3.62208029,6.32505766,15.16959765,4.48039093,-1.55883805,1.61980014,-6.74786707,0,0
275,3.64605836,3.88016778,11.94399295,4.22468357,-0.63004054,2.71082112,-7.84124859,0,0
277,3.65550060,4.43445318,19.69604594,14.72674623,-4.45992556,1.56614344,-7.82390647,0,0
278,3.66135930,5.06709264,10.98897689,1.82799414,-1.76196567,5.24141930,-4.94137854,0,0
279,3.66917409,7.25195349,12.51990195,1.00515794,-3.88006675,1.19169247,-8.16235346,0,0
280,3.66959141,3.33715235,14.18693640,5.05593037,-3.31348057,3.09596881,-6.81742259,0,0
281,3.70168390,6.25079599,19.47300221,13.91053922,-6.04998009,5.84918347,-6.53481614,0,0
282,3.71312026,6.54318561,19.47934563,14.03311483,-6.00019069,5.73802061,-6.26132650,0,0
284,3.74255150,5.62628236,10.65336659,1.16732364,-2.44978821,2.85315047,-6.83057237,0,0
285,3.74651477,3.99373544,17.27796646,12.17052878,-3.96529202,2.12077304,-5.83218520,0,0
286,3.75995581,7.89667549,9.18476172,1.10276142,-6.76419240,2.71464653,-4.70450407,0,0
287,3.76548590,6.39937999,17.47228373,11.81349858,-6.40509990,2.04250720,-5.58839151,0,0
288,3.77203453,6.44047076,6.75505352,2.05867883,-6.40001192,1.93897085,-4.43041561,0,0
289,3.82078575,5.42841914,6.40400935,2.09507773,-5.39004956,2.34792830,-5.99181896,0,0
