Index,goal_center_x,goal_center_y,goal_velocity_min,goal_velocity_max,num_npc,lane_count,npc_x0,npc_v_max,npc_seed,cutin_tx,cutin_delay,Fitness_Min distance to obstacle_LoFi,Fitness_Distance to goal_LoFi,Fitness_Min distance to obstacle_HiFi,Fitness_Distance to goal_HiFi,Critical_LoFi,Critical_HiFi
71,156.92393108,0.29412226,10.30068169,23.58268783,1.45912991,2.07479561,9.35273058,18.36177520,56.58047091,0.91190108,0.40573735,0.95557688,1.82131914,0.75421718,0.00000000,1,0
72,156.93436562,0.32763306,10.60843671,23.58268783,1.45912991,2.07515475,9.37260224,19.17836730,56.58047091,0.94982141,0.41106826,0.61219074,1.88530398,0.87561918,0.00000000,1,0
73,156.94411702,0.32763306,10.61000621,23.58268783,1.45905908,2.07515475,9.37221942,18.44597299,66.25566395,0.91181324,0.40601626,0.61954057,1.88464756,0.39691776,1.04880337,1,1
74,156.97013357,0.32841500,10.61027237,23.58268783,1.45912991,2.07515339,9.43210854,19.26256502,56.16517571,0.94973358,0.41342557,1.35451266,0.00000000,0.67182398,0.15313607,0,1
75,156.93436562,0.32763306,10.63325634,23.58268783,1.45912991,2.07515475,9.42551208,18.44597299,56.58047091,0.91181324,0.41369764,0.96525931,1.65471083,0.34646834,5.16302819,1,1
76,156.93445322,0.29473465,10.30068169,23.58268783,1.45912991,2.07515475,9.42589490,19.17836722,56.58047091,0.94982141,0.41362017,0.96525931,1.68750395,1.10420653,0.00000000,1,0
77,156.96993338,0.32756644,10.63141973,23.58268783,1.45912991,2.07515475,9.42589490,19.17836730,56.58047091,0.94982141,0.41362017,0.61899114,1.79640035,1.24197199,0.00000000,1,0
78,156.93501700,0.29510644,10.29885375,23.58268783,1.45912991,2.06970627,9.39051729,18.44083188,33.24874612,0.90944414,0.41362017,1.32443350,0.00000000,1.35997410,0.00000000,0,0
79,156.96956170,0.32719297,10.61183785,23.58149139,1.45400961,2.07510241,9.42557051,19.18560271,56.92823278,0.95219051,0.40615151,0.61899114,1.79678227,0.83423315,0.00000000,1,0
80,156.93436562,0.32763306,10.61001783,23.58268783,1.45912991,2.07494325,10.33698799,18.44597299,56.58047091,0.91181324,0.40587619,0.65552778,1.88611532,0.69362432,0.00000000,1,0
81,156.97226361,0.29522155,10.61027237,23.58268783,1.45912991,2.07479424,9.42949096,18.44597299,56.16517571,0.91181324,0.40547536,1.57008817,0.00000000,0.88065817,0.00000000,0,0
82,156.93455772,0.32633626,10.61000991,23.45799277,1.45400961,2.08557970,9.38782230,18.44806737,34.02086415,0.91181324,0.28514850,0.61405713,1.88652931,0.53748691,11.50121834,1,1
83,156.93436562,0.32771287,10.61027333,23.58211249,1.46032679,2.07515475,9.06404816,18.40687573,56.66615895,0.91181324,0.41114574,0.74315755,1.52837292,0.32731626,0.00000000,1,1
84,156.92448110,0.32786922,10.61027374,23.58268783,1.45912991,2.06230356,9.35857861,18.44597299,33.59650799,0.91181324,0.41105523,0.61219074,1.88563623,0.00000000,9.56572819,1,1
85,156.92180105,0.32731571,10.30068169,23.58268783,1.45912991,2.07515475,9.35534815,19.17836722,56.58047091,0.94982141,0.41368756,0.61361227,1.86004704,0.79348273,0.00000000,1,0
86,158.39393139,0.32762674,10.61000991,23.58149139,1.45400961,2.88172875,9.39024073,18.44806737,65.74896283,0.91181324,0.40615151,0.66041441,1.89469694,0.00000000,9.38643979,1,1
87,158.33266326,0.29630724,10.30337280,23.09517879,1.58599246,2.89272794,9.36621175,19.21372615,66.18109040,0.97084511,0.11396742,0.61588785,1.82794483,1.05522427,0.00000000,1,0
88,156.92448110,0.32786922,10.61001825,23.58268783,1.45912991,2.06209206,10.28771929,18.44597299,57.00736010,0.91181324,0.40578568,0.60997126,1.90702169,0.91853671,0.00000000,1,0
89,156.92404367,0.32786922,10.61027237,23.58268783,1.45912991,2.07479424,9.39457202,18.44597299,32.75432361,0.91181324,0.40554275,1.35596632,0.00000000,1.17215031,0.00000000,0,0
